Kenteken,Voertuigsoort,Merk,Handelsbenaming,Bruto BPM,Cilinderinhoud,Massa ledig voertuig,Toegestane maximum massa voertuig,Catalogusprijs,WAM verzekerd
65NZKV,Personenauto,ALFA ROMEO,ALFA ROMEO GT,8331,1970,1295,1840,,Ja
KX423D,Personenauto,RENAULT,TWINGO,1753,999,840,1360,12475,Ja
72TLKG,Personenauto,CITROEN,U*****,7380,1749,1485,2200,30919,Ja
SG778F,Personenauto,NISSAN,NISSAN QASHQAI,6386,1197,1250,1860,32091,Ja
28XFZ6,Personenauto,CITROEN,CITROEN C1,,998,805,1190,11875,Ja
H654DB,Personenauto,FORD,FOCUS,2859,999,1283,1925,30307,Ja
ZP521Z,Personenauto,MERCEDES-BENZ,E230,18329,2295,1797,2150,,Ja
LNHG62,Personenauto,FORD,MUSTANG 3.8 AUT,6295,3797,1440,2004,,Nee
J738NN,Personenauto,RENAULT,ZOE,,,1402,1966,31389,Ja
TV406L,Personenauto,FIAT,FIAT 500,1447,875,905,1370,19230,Ja
71JVV1,Personenauto,RENAULT,SAFRANE BITURBO,15880,2961,1724,2150,,Ja
1KRP67,Personenauto,MINI,MINI ONE,3785,1598,1015,1470,,Ja
32PBNB,Personenauto,FIAT,FIAT PANDA,2126,1242,835,1305,,Ja
SN590D,Personenauto,KIA,RIO,2633,998,1055,1600,20020,Ja
ZG58FZ,Personenauto,VOLKSWAGEN,GOLF CL 66KW U9,,1781,903,1430,,Nee
H387NF,Personenauto,VOLKSWAGEN,POLO,3665,999,1055,1610,22338,Ja
RD806G,Personenauto,FORD,KUGA,8166,1498,1479,2100,37237,Ja
53TNT3,Personenauto,MITSUBISHI,MITSUBISHI COLT,1535,1332,950,1465,13747,Ja
JR299H,Personenauto,HYMER,B 588,12267,2287,3065,4250,,Ja
48ZVX9,Personenauto,TOYOTA,TOYOTA RAV4,9621,1987,1465,2100,37090,Ja
XLLL02,Personenauto,FORD,KA,1407,1299,846,1265,,Ja
90NFL6,Personenauto,VOLKSWAGEN,KOMBI,13499,1968,1876,2800,39101,Ja
XK821T,Personenauto,FORD,FIESTA,4300,998,1141,1685,22865,Ja
36LDK3,Personenauto,FIAT,FIAT PANDA,338,1242,835,1305,9365,Ja
58ZNVR,Personenauto,NISSAN,NISSAN X-TRAIL,9646,1997,1489,2050,,Ja
G264VR,Personenauto,KIA,NIRO,2466,1580,1390,1930,33590,Ja
98GVF5,Personenauto,HYUNDAI,I 10,2412,1086,930,1430,13255,Ja
XD281K,Personenauto,HYUNDAI,TUCSON,12153,1685,1445,2085,43602,Ja
99SPRZ,Personenauto,MITSUBISHI,MITSUBISHI COLT,3211,1332,935,1435,,Ja
J224DP,Personenauto,BUERSTNER,BUT715,10900,2287,2840,3500,45017,Ja
HF892T,Personenauto,RENAULT,MEGANE,3607,1197,1197,1848,24280,Ja
66PNN7,Personenauto,SKODA,YETI,4244,1197,1240,1885,21089,Ja
KS806R,Personenauto,VOLKSWAGEN,PASSAT,5475,1968,1405,2070,41159,Ja
37XBLL,Personenauto,FORD,FOCUS,4456,1596,1149,1730,,Ja
L385BG,Personenauto,MERCEDES-BENZ,GLA 200,3187,1595,1335,1940,51848,Ja
61XPFV,Personenauto,TOYOTA,TOYOTA YARIS,3566,1298,995,1480,17011,Ja
JK926X,Personenauto,FIAT,FIAT 500,1270,875,915,1380,18140,Ja
XN759P,Personenauto,FORD,FOCUS,3645,999,1283,1925,28625,Ja
NL481D,Personenauto,HYUNDAI,IX20,3360,1396,1153,1710,18105,Ja
H383ZH,Personenauto,PEUGEOT,208,2633,1199,1065,1595,23730,Ja
71ZHHG,Personenauto,MAZDA,MAZDA 6,6245,1798,1295,1925,,Ja
10SRT6,Personenauto,AUDI,AUDI Q3,9124,1984,1485,2110,46980,Ja
82SJGK,Personenauto,TOYOTA,TOYOTA YARIS,4067,1298,1000,1480,18830,Ja
NP45YL,Personenauto,AUTO UNION,AUDI COUPE GT5E,,,1035,,,Ja
HD819P,Personenauto,FORD,FOCUS,2024,999,1216,1900,26590,Ja
DE6200,Personenauto,VOLKSWAGEN,KEVER 1500 CABRIOLET,,,860,,,Ja
2TVT33,Personenauto,CITROEN,C3,1470,1199,950,1511,17465,Ja
K715BG,Personenauto,TESLA,MODEL S,,,2155,2574,81590,Ja
H482NZ,Personenauto,FIAT,FIAT 500,175,875,915,1380,23522,Ja
XDBS71,Personenauto,TOYOTA,TOYOTA STARLET,2170,1332,820,1345,,Ja
1XLX03,Personenauto,RENAULT,MEGANE,3780,1197,1259,1835,28234,Ja
14TJN9,Personenauto,FORD,FOCUS,3887,1596,1176,1825,24221,Ja
NB323R,Personenauto,OPEL,CORSA-E,3504,1398,1063,1630,17615,Ja
KB795X,Personenauto,SUZUKI,CELERIO,994,998,790,1260,11798,Ja
86XFTF,Personenauto,AUDI,AUDI A6,13034,1984,1565,2220,,Ja
RN861B,Personenauto,VOLKSWAGEN,UP!,1825,999,834,1330,12923,Ja
PF844D,Personenauto,SUZUKI,SX4,3816,998,1065,1730,24558,Ja
35GHNV,Personenauto,RENAULT,CLIO,1909,1149,855,1420,,Ja
21LXL3,Personenauto,NISSAN,NISSAN QASHQAI,4871,1598,1210,1830,24614,Ja
61PDVF,Personenauto,RENAULT,MEGANE,4489,1598,1150,1725,,Ja
TZ96YT,Personenauto,TOYOTA,CAMRY 2.0 GLI AUT. K6,,1998,1181,1720,,Ja
HK354J,Personenauto,VOLVO,V40,1699,1969,1292,1920,30584,Ja
G179HF,Personenauto,TOYOTA,TOYOTA C-HR,1402,1798,1395,1860,35355,Ja
3KFR65,Personenauto,CITROEN,DS5,9325,1598,1395,2035,37590,Ja
1TDH38,Personenauto,SKODA,SUPERB,5176,1598,1441,2104,33680,Ja
64SVNZ,Personenauto,PEUGEOT,207,3959,1360,1114,1620,18438,Ja
71SVKX,Personenauto,HYUNDAI,ATOS-PRIME,1777,1086,873,1336,10473,Ja
01LTZP,Personenauto,SKODA,FABIA,2728,1390,1070,1610,,Ja
74JLZJ,Personenauto,PEUGEOT,206,2652,1360,925,1450,,Ja
H394KV,Personenauto,SKODA,FABIA,3278,999,1036,1591,22755,Ja
59GNKT,Personenauto,MERCEDES-BENZ,A 140,5057,1397,995,1480,,Ja
H741TB,Personenauto,PEUGEOT,208,1120,1199,950,1530,18028,Ja
NK706S,Personenauto,KIA,PICANTO,1759,998,825,1370,11990,Ja
XR477S,Personenauto,OPEL,MOKKA X,5210,1364,1294,1828,28876,Ja
H002BV,Personenauto,HYUNDAI,KONA,1800,1580,1351,1880,29077,Ja
23JD84,Personenauto,FORD,TRANSIT 130 KAMPEERAUTO,,,2070,,,Ja
29RRZB,Personenauto,NISSAN,NISSAN X-TRAIL,7927,1998,1405,2000,,Ja
31SNPL,Personenauto,LAND ROVER,RANGE ROVER SPORT,31816,4197,2530,3125,,Ja
13ZRB6,Personenauto,HYUNDAI,IX20,3930,1396,1153,1710,20850,Ja
51SFV8,Personenauto,RENAULT,TWINGO,,1149,839,1370,12060,Ja
JD792H,Personenauto,CITROEN,C1,1270,998,830,1240,13825,Ja
G557NV,Personenauto,TESLA,MODEL 3,,,1831,2305,59900,Ja
32NHD8,Personenauto,VOLKSWAGEN,POLO,,1199,1050,1590,,Ja
TH591G,Personenauto,SMART,FORFOUR,2014,999,875,1400,14101,Ja
SL705G,Personenauto,MAZDA,MAZDA CX-3,7498,1998,1130,1690,26745,Ja
50TPZJ,Personenauto,NISSAN,NISSAN MICRA,2731,1240,921,1475,,Ja
KF183L,Personenauto,FIAT,FIAT BRAVO,4332,1368,1235,1770,,Ja
RJ194V,Personenauto,BMW,X1 XDRIVE20I,8601,1998,1515,2140,56682,Ja
LHNR01,Personenauto,ROLLS ROYCE,CORNICHE,,,2210,,,Nee
75SKBJ,Personenauto,FORD,FOCUS C-MAX,5479,1596,1234,1855,,Ja
38UH08,Personenauto,PORSCHE,924,,,1060,,,Ja
SK142B,Personenauto,FORD,MONDEO,6853,1596,1401,2200,37645,Ja
97HHBT,Personenauto,OPEL,ZAFIRA-A,4510,1598,1293,1950,,Ja
95ZRJH,Personenauto,CITROEN,C4 PICASSO,6815,1749,1485,2200,30097,Ja
XX110G,Personenauto,BMW,520I,7051,1998,1515,2210,68499,Ja
10JLJL,Personenauto,OPEL,CORSA-C,2444,1199,935,1430,,Ja
G083XB,Personenauto,TOYOTA,TOYOTA YARIS HYBRID,1282,1497,1050,1565,22310,Ja
11HVG9,Personenauto,MERCEDES-BENZ,200,,1977,1360,1870,,Ja
G650LR,Personenauto,VOLKSWAGEN,KOMBI,31662,1968,1759,3000,71895,Ja
ZJ454J,Personenauto,RENAULT,CLIO,4300,898,1065,1630,19185,Ja
H495NB,Personenauto,KIA,STONIC,5600,998,1080,1640,23675,Ja
G417VK,Personenauto,RENAULT,CLIO,2466,999,1065,1603,19085,Ja
PJ669G,Personenauto,VOLKSWAGEN,UP!,1825,999,834,1330,13367,Ja
54TGKL,Personenauto,PEUGEOT,207,4227,1587,1200,1680,19410,Ja
67JRK7,Personenauto,FORD,FIESTA,3649,1388,954,1495,20460,Ja
G783PH,Personenauto,TESLA,MODEL 3,,,1584,2060,50080,Ja
8TPN97,Personenauto,NISSAN,NISSAN MICRA,2835,1198,935,1425,15100,Ja
KT851H,Personenauto,VOLKSWAGEN,POLO,2443,1197,1007,1590,20327,Ja
73RKSK,Personenauto,SEAT,IBIZA,4937,1781,1129,1649,,Ja
1SZN01,Personenauto,SUZUKI,ALTO,,996,830,1250,9829,Ja
18RPH5,Personenauto,SKODA,FABIA,,1199,1119,1674,17669,Ja
38HVP2,Personenauto,MERCEDES-BENZ,190 D,,1997,1120,1610,,Nee
59XTXT,Personenauto,FORD,MONDEO,9988,2261,1460,2265,,Ja
5558DU,Personenauto,VOLVO,P 13134,,1780,1088,,,Ja
NL994R,Personenauto,CITROEN,C3,2191,1124,985,1483,,Ja
DH7879,Personenauto,VOLKSWAGEN,1,,,660,,,Ja
XT972L,Personenauto,RENAULT,MEGANE,4337,1598,1200,1775,,Ja
XR944H,Personenauto,PEUGEOT,208,2051,1199,1065,1650,26362,Ja
57PTK3,Personenauto,HYUNDAI,I 10,,1248,885,1410,10360,Ja
26PVP5,Personenauto,RENAULT,CLIO,2800,1149,962,1580,16030,Ja
G690BD,Personenauto,NISSAN,NISSAN MICRA,3252,999,1035,1550,22291,Ja
26LJFK,Personenauto,PEUGEOT,206,2668,1360,925,1450,,Ja
29LLX2,Personenauto,FORD,MONDEO,7639,1999,1396,2200,31189,Ja
XB234X,Personenauto,JAGUAR,JAGUAR I-PACE,,,2144,2670,104446,Ja
5XFX61,Personenauto,CITROEN,DS3,1470,1199,950,1496,20700,Ja
PP04HX,Personenauto,OPEL,KADETT HATCHBACK 1.2 SC,,1196,814,1355,,Ja
75ZSX7,Personenauto,VOLKSWAGEN,UP,,999,840,1290,10916,Ja
38JPZ8,Personenauto,CITROEN,CITROEN C1,,998,815,1190,11580,Ja
80LHF3,Personenauto,MITSUBISHI,MITSUBISHI COLT,1259,1332,950,1465,14248,Ja
82LNGX,Personenauto,RENAULT,CLIO,2950,1390,975,1545,,Ja
8XRH22,Personenauto,PEUGEOT,308,1093,1560,1275,1870,27690,Ja
21TKS8,Personenauto,HYUNDAI,IX20,3832,1591,1155,1710,20515,Ja
AE5210,Personenauto,NEKAF,M38A1 1/4 TON,,,1260,,,Ja
K794TD,Personenauto,TOYOTA,TOYOTA RAV4,2665,2487,1565,2135,48364,Ja
PG003K,Personenauto,PEUGEOT,208,2821,1560,1055,1625,22003,Ja
03KTX7,Personenauto,TOYOTA,TOYOTA AURIS,4344,1598,1250,1750,22455,Ja
54GHP5,Personenauto,RENAULT,MODUS,3595,1149,1135,1650,,Ja
25HKTZ,Personenauto,TOYOTA,TOYOTA YARIS,3122,1299,885,1350,,Ja
HV485V,Personenauto,HYUNDAI,TUCSON,6743,1591,1354,1895,30220,Ja
26LGB1,Personenauto,SUZUKI,ALTO,,996,830,1250,9048,Ja
HF713V,Personenauto,VOLVO,XC70,7029,1969,1640,2300,55245,Ja
5SNS65,Personenauto,POESSL,KW 018,10934,2999,2895,3500,,Ja
3ZVK68,Personenauto,VOLKSWAGEN,UP,1564,999,840,1290,13089,Ja
73GGGN,Personenauto,FORD,FOCUS,4464,1596,1134,1660,,Ja
GX002K,Personenauto,TOYOTA,TOYOTA AYGO,378,998,795,1180,,Ja
J486LN,Personenauto,PEUGEOT,2008,627,1199,1065,1656,22744,Ja
9THP22,Personenauto,PORSCHE,911 TURBO S,27441,3800,1580,1990,239759,Ja
RZ288J,Personenauto,SEAT,LEON ST,2633,999,1136,1770,25960,Ja
KH14FB,Personenauto,CITROEN,2CV6,,,560,,,Ja
34PFTX,Personenauto,TOYOTA,YARIS,2677,1298,870,1385,,Ja
XJ400R,Personenauto,HYUNDAI,KONA,,,1660,2170,44115,Ja
87NRN6,Personenauto,SKODA,FABIA,,1199,1119,1674,16739,Ja
5SRX19,Personenauto,FIAT,FIAT 500,,964,840,1305,14425,Ja
07HSVR,Personenauto,TOYOTA,TOYOTA YARIS,3495,1299,900,1360,,Ja
3ZTH55,Personenauto,RENAULT,CLIO,1699,1461,1096,1711,21485,Ja
RS254J,Personenauto,VOLKSWAGEN,TIGUAN,7915,1395,1398,2130,48744,Ja
13JRV3,Personenauto,SKODA,FABIA,2998,1390,1020,1575,14559,Ja
G346PB,Personenauto,NISSAN,NISSAN MICRA,3645,999,1055,1555,23541,Ja
9ZHL78,Personenauto,SUBARU,FORESTER,7056,1995,1477,2015,37790,Ja
FB86RK,Personenauto,OPEL,KADETT,,,940,,,Ja
41RSN9,Personenauto,FIAT,FIAT PUNTO,,1248,1105,1690,15689,Ja
HV818R,Personenauto,MAZDA,MAZDA2,2254,1496,950,1505,18184,Ja
94LGTS,Personenauto,SUZUKI,WAGON R,2396,1298,970,1460,,Ja
13NLJP,Personenauto,NISSAN,NISSAN PRIMERA,5012,1769,1281,1810,,Ja
H547RX,Personenauto,PEUGEOT,5008,4955,1199,1405,2170,42760,Ja
PN882B,Personenauto,SEAT,LEON,2221,999,1125,1740,25660,Ja
KP872H,Personenauto,HYUNDAI,TUCSON,13607,1591,1509,2190,45800,Ja
TV969K,Personenauto,TOYOTA,TOYOTA C-HR,1321,1798,1395,1860,36265,Ja
65GKS6,Personenauto,FIAT,FIAT PANDA,2046,1242,835,1305,,Ja
XJ319J,Personenauto,KIA,NIRO,1321,1580,1390,1930,29835,Ja
PX185R,Personenauto,CITROEN,C3,2366,1199,1025,1600,22300,Ja
3XRF71,Personenauto,PEUGEOT,PEUGEOT 107,958,998,765,1180,,Ja
XX908L,Personenauto,CITROEN,C1,1402,998,815,1240,13655,Ja
20NKR4,Personenauto,CITROEN,CITROEN C1,,998,780,1190,11180,Ja
78TGR8,Personenauto,TOYOTA,TOYOTA AYGO,,998,805,1190,11505,Ja
NF044G,Personenauto,VOLKSWAGEN,POLO,1684,999,1011,1560,17136,Ja
ND468J,Personenauto,FORD,FIESTA,2029,998,955,1530,17696,Ja
62ZFTR,Personenauto,TOYOTA,TOYOTA YARIS,3566,1298,995,1480,17011,Ja
H903TN,Personenauto,MERCEDES-BENZ,A 180,5600,1332,1275,1905,37242,Ja
1ZTZ59,Personenauto,AUDI,A1 SPORTBACK,2823,1395,1115,1660,24031,Ja
5ZLF24,Personenauto,OPEL,ASTRA,2212,1362,1293,1945,27630,Ja
34ZBJP,Personenauto,PEUGEOT,207,4213,1397,1190,1691,19360,Ja
3THB23,Personenauto,FORD,FIESTA,710,1242,954,1495,15789,Ja
10TVV4,Personenauto,KIA,RIO,,1248,999,1560,13886,Ja
84NSN3,Personenauto,PORSCHE,911 CARRERA 4S,45380,3824,1575,1975,,Ja
3KJZ84,Personenauto,RENAULT,MEGANE,1010,1461,1190,1813,28075,Ja
ZT974K,Personenauto,SEAT,TARRACO,10501,1498,1534,2330,45440,Ja
34ZBD9,Personenauto,SUZUKI,IGNIS,2462,1328,960,1470,,Ja
1TPK49,Personenauto,TOYOTA,TOYOTA AYGO,816,998,805,1190,,Ja
K782HJ,Personenauto,TOYOTA,TOYOTA COROLLA,1197,1798,1265,1835,30687,Ja
TG721T,Personenauto,TOYOTA,TOYOTA AYGO,1036,998,795,1180,,Ja
70GDR4,Personenauto,VOLKSWAGEN,GOLF,4777,1390,1180,1820,24244,Ja
4TLX45,Personenauto,NISSAN,NISSAN QASHQAI,4410,1197,1250,1860,27540,Ja
GK258F,Personenauto,SKODA,OCTAVIA,3383,1197,1152,1822,26300,Ja
02NPB1,Personenauto,RENAULT,MEGANE SCENIC,8118,1997,1405,2128,35430,Ja
SF219P,Personenauto,FORD,FOCUS,2997,1499,1268,1900,31424,Ja
67SHXX,Personenauto,SUZUKI,SWIFT,2731,1328,965,1485,10320,Ja
NL099G,Personenauto,CITROEN,C1,1297,998,830,1240,12265,Ja
J652ZZ,Personenauto,SUZUKI,SWIFT,1767,1242,825,1365,19836,Ja
22RGH5,Personenauto,SEAT,ALTEA XL,4923,1390,1378,2022,24872,Ja
29PNTH,Personenauto,SEAT,IBIZA,3015,1390,1028,1567,,Ja
21KZJ7,Personenauto,CHEVROLET,MATIZ,,796,750,1250,7111,Ja
93SKVL,Personenauto,NISSAN,NISSAN MICRA,3242,1386,960,1475,,Ja
G896JP,Personenauto,SKODA,KAROQ,5610,1498,1295,1881,40095,Ja
09LLZN,Personenauto,ALFA ROMEO,115 SPIDER,907,,1040,1360,,Ja
K525VT,Personenauto,NISSAN,NISSAN MICRA,3674,999,1035,1550,21741,Ja
35RNK9,Personenauto,PEUGEOT,3008,5831,1598,1374,2020,28800,Ja
19SHVT,Personenauto,RENAULT,MEGANE SCENIC,6685,1998,1429,1985,,Ja
48RLT4,Personenauto,VOLVO,C30,5538,1999,1229,1750,19995,Ja
2SZB34,Personenauto,VOLKSWAGEN,POLO,1010,1199,1050,1590,20146,Ja
89NPJS,Personenauto,PEUGEOT,307,4792,1587,1299,1923,,Ja
34ZBH3,Personenauto,HYUNDAI,I 10,,998,863,1400,9890,Ja
PX661B,Personenauto,OPEL,KARL / VIVA,1693,999,839,1353,13747,Ja
KT093H,Personenauto,CITROEN,C3,2305,1199,1025,1600,19295,Ja
3SZN87,Personenauto,SUZUKI,ALTO,,996,830,1250,9829,Ja
H063KP,Personenauto,VW,T-CROSS,2254,999,1170,1750,30638,Ja
52XHFV,Personenauto,CITROEN,C4 PICASSO,7384,1749,1445,2000,30934,Ja
22TVTD,Personenauto,ALFA ROMEO,ALFA ROMEO 147,9236,1910,1285,1830,32016,Ja
TB214H,Personenauto,BMW,540I XDRIVE,9091,2998,1635,2340,99518,Ja
05PZN6,Personenauto,FIAT,FIAT PANDA,,1242,835,1305,9794,Ja
93JRF8,Personenauto,OPEL,AGILA,2974,1242,1015,1485,15714,Ja
05ZKJK,Personenauto,SUZUKI,SWIFT,4811,1586,1005,1485,15342,Ja
NV118X,Personenauto,HYUNDAI,I20,2023,998,1040,1600,17920,Ja
45HNJ9,Personenauto,RENAULT,LAGUNA,6298,1997,1365,1940,,Ja
JZ668P,Personenauto,RENAULT,CLIO,2374,898,1064,1629,18285,Ja
84SXXD,Personenauto,CITROEN,CITROEN C1,1496,998,775,1190,9544,Ja
NV786J,Personenauto,BMW,5ER REIHE,4118,2497,1560,2145,64087,Ja
53ZFZ1,Personenauto,ALFA ROMEO,ALFA GIULIETTA,4945,1368,1265,1795,30770,Ja
11JHKB,Personenauto,BMW,Z REIHE,9585,1895,1195,1490,,Ja
PJ286X,Personenauto,RENAULT,TWINGO,1759,999,840,1360,12885,Ja
63NZNF,Personenauto,OPEL,MERIVA-A,4035,1796,1280,1835,,Ja
K979GR,Personenauto,FORD,PUMA,3550,999,1180,1765,23646,Ja
17PVJ2,Personenauto,FORD,KA,554,1242,840,1320,10450,Ja
G659ND,Personenauto,RENAULT,MEGANE,3312,1332,1254,1839,33841,Ja
16GRH3,Personenauto,OPEL,CORSA,4249,1364,1088,1640,20318,Ja
PHDZ93,Personenauto,MITSUBISHI,ECLIPSE,6532,,1295,1750,,Ja
GJ654H,Personenauto,NISSAN,NISSAN NOTE,2205,1198,980,1510,18481,Ja
JS31RS,Personenauto,MERCEDES-BENZ,200 D,,,1346,,,Nee
78PGGD,Personenauto,CITROEN,XSARA PICASSO,5005,1749,1220,1795,,Ja
SRJL54,Personenauto,CITROEN,XM,11881,,1566,2125,,Ja
NL502R,Personenauto,KIA,PICANTO,1759,998,825,1370,12995,Ja
NR157K,Personenauto,JEEP,RENEGADE,7731,1368,1295,1865,29360,Ja
KD830S,Personenauto,PEUGEOT,208,2029,1199,950,1546,18540,Ja
NV766S,Personenauto,VOLKSWAGEN,POLO,3236,1197,1007,1590,22022,Ja
67PVLF,Personenauto,FIAT,FIAT IDEA,3750,1368,1130,1655,,Ja
XZSV90,Personenauto,SEAT,AROSA,1710,1390,870,1360,,Ja
XS021L,Personenauto,HYUNDAI,KONA,,,1660,2170,45610,Ja
TP711K,Personenauto,BMW,320I,8193,1998,1495,2120,47901,Ja
67XZHP,Personenauto,VOLKSWAGEN,JETTA,5939,1598,1246,1870,,Ja
K522LB,Personenauto,FORD,FOCUS,2682,999,1244,1890,35359,Ja
ZB963X,Personenauto,FIAT,FIAT 500,1522,875,905,1370,18555,Ja
KP984N,Personenauto,MERCEDES-BENZ,C 220 D,7355,2143,1515,2095,70172,Ja
K583PN,Personenauto,TOYOTA,TOYOTA GR YARIS,10274,1618,1255,1645,50682,Ja
K366HN,Personenauto,VOLKSWAGEN,ID.3 PRO 150 KW,,,1694,2260,49176,Ja
93SNRV,Personenauto,PEUGEOT,307,5611,1587,1335,1940,24439,Ja
KR098D,Personenauto,FORD,FIESTA,2029,998,955,1530,17696,Ja
48JFB3,Personenauto,TOYOTA,TOYOTA IQ,,998,835,1210,16790,Ja
K915GN,Personenauto,RENAULT,CAPTUR,4294,999,1165,1751,25804,Ja
H292NK,Personenauto,VOLVO,XC90,20738,4414,2107,2760,,Ja
HH137S,Personenauto,HYUNDAI,I10,1960,998,908,1310,13550,Ja
K748GN,Personenauto,JAGUAR,JAGUAR I-PACE,,,2144,2670,69995,Ja
K580GB,Personenauto,MERCEDES-BENZ,A 180,1368,1595,1270,1935,32758,Ja
GN255S,Personenauto,VOLVO,V60,9718,1596,1450,2110,42589,Ja
SB632L,Personenauto,BMW,X6 M50D,20145,2993,2160,2900,144688,Ja
GV404N,Personenauto,TOYOTA,TOYOTA AYGO,1081,998,830,1240,12785,Ja
HT666F,Personenauto,PEUGEOT,2008,2461,1199,1065,1656,25010,Ja
40PLSL,Personenauto,FORD,FIESTA,2053,1299,1005,1530,,Ja
52XBVK,Personenauto,MERCEDES-BENZ,E 280 CDI,21311,2987,1770,2420,77067,Ja
17LPBH,Personenauto,CITROEN,XSARA PICASSO,4407,1587,1215,1790,,Ja
29JVTP,Personenauto,SUZUKI,WAGON R,2286,1298,905,1355,,Ja
26KTX5,Personenauto,SKODA,YETI,4653,1197,1245,1890,24699,Ja
89XFHF,Personenauto,CITROEN,CITROEN C1,990,998,775,1180,10339,Ja
RLRJ66,Personenauto,JAGUAR,SOVEREIGN 3.2,20162,3239,1728,2295,,Ja
7THL02,Personenauto,MAZDA,MAZDA 2,2835,1349,935,1485,16034,Ja
78LSZ9,Personenauto,PEUGEOT,207,2958,1397,1145,1640,16970,Ja
NR345T,Personenauto,BMW,118I,3671,1499,1295,1885,40611,Ja
57HLS8,Personenauto,HONDA,CIVIC 4DR HYBRID,,1339,1268,1720,24550,Ja
SV962S,Personenauto,KIA,PICANTO,2014,998,835,1400,12715,Ja
HB882V,Personenauto,VOLKSWAGEN,UP!,1564,999,840,1290,12520,Ja
46DJPS,Personenauto,VOLKSWAGEN,PASSAT,6768,1781,1293,1910,,Nee
JL755N,Personenauto,MERCEDES-BENZ,B 180,5116,1595,1325,1960,38733,Ja
58ZJKN,Personenauto,NISSAN,NISSAN NOTE,4116,1598,1082,1560,,Ja
6KDD25,Personenauto,VOLKSWAGEN,GOLF,2375,1197,1135,1730,26443,Ja
54JRDL,Personenauto,VOLVO,S60,7436,2435,1443,1980,,Ja
04JDFJ,Personenauto,PEUGEOT,206,4324,1587,1115,1535,,Ja
43TDZZ,Personenauto,TOYOTA,TOYOTA YARIS,3299,1298,995,1480,16040,Ja
27RRD6,Personenauto,VOLKSWAGEN,GOLF PLUS,6057,1598,1350,1970,30310,Ja
RB61GD,Personenauto,VOLKSWAGEN,POLO COUPE C 40KW,,1272,737,1170,,Ja
72SPTS,Personenauto,CHEVROLET,MATIZ,2051,995,770,1270,11570,Ja
GJ074V,Personenauto,FIAT,FIAT 500,1081,875,945,1385,22260,Ja
J639JH,Personenauto,BMW,3ER REIHE,8915,1995,1600,2055,,Ja
80NBL8,Personenauto,FORD,FOCUS,4069,1596,1149,1820,20141,Ja
KL412B,Personenauto,VOLKSWAGEN,UP!,1753,999,840,1290,14852,Ja
SHRZ59,Personenauto,VOLKSWAGEN,PASSAT,6041,,1295,1870,,Ja
GT817S,Personenauto,VOLKSWAGEN,GOLF,397,1395,1499,2020,42004,Ja
H311LB,Personenauto,SKODA,KODIAQ,7019,1498,1449,2157,37350,Ja
15TDP2,Personenauto,MITSUBISHI,MITSUBISHI LANCER,3349,1590,1275,1800,20898,Ja
18GFGN,Personenauto,BMW,3ER REIHE,7986,1895,1295,1820,,Ja
48NTDT,Personenauto,FIAT,FIAT DOBLO,3778,1596,1286,1830,,Ja
11JXNN,Personenauto,PEUGEOT,206,3013,1360,925,1450,,Ja
8922ZD,Personenauto,DAF,6623,,,805,,,Ja
64PKKG,Personenauto,FORD,FOCUS,3691,1596,1031,1570,,Ja
3TPN94,Personenauto,VOLKSWAGEN,GOLF,3675,1395,1147,1750,29939,Ja
84ZNTT,Personenauto,RENAULT,CLIO,2513,1149,1085,1598,,Ja
54DNLG,Personenauto,VOLVO,S80,60015,2783,1605,2100,,Ja
XD855T,Personenauto,LAND ROVER,RANGE ROVER EVOQUE,13935,1997,1705,2350,95345,Ja
47SNTS,Personenauto,VOLVO,V50,7886,1798,1281,1890,32909,Ja
37JFB7,Personenauto,MERCEDES-BENZ,SL 500,33686,4966,1745,2140,,Ja
15LKXJ,Personenauto,VOLVO,S40,4790,1948,1255,1750,,Ja
73HHZL,Personenauto,OPEL,ZAFIRA-A,5440,1796,1345,1990,,Ja
62PKFK,Personenauto,AUDI,AUDI A4,11162,1781,1405,1980,,Ja
PF633K,Personenauto,KIA,RIO,1693,998,1055,1600,17425,Ja
XD902R,Personenauto,BMW,320D,4116,1995,1505,2125,55180,Ja
86SRS5,Personenauto,TRABANT,601 TX /HYCOMAT/,,595,515,1000,,Nee
77DSBX,Personenauto,FIAT,FIAT MAREA WEEKEND,4566,1747,1230,1850,,Ja
69LXFG,Personenauto,PEUGEOT,206,3142,1360,955,1480,,Ja
PF713L,Personenauto,RENAULT,KADJAR,5701,1197,1281,1853,31010,Ja
GK478D,Personenauto,VOLKSWAGEN,UP,1564,999,840,1290,12858,Ja
XL895K,Personenauto,FIAT,FIAT TIPO,7706,1368,1280,1855,30465,Ja
65RDLR,Personenauto,PEUGEOT,206,2646,1124,885,1405,13668,Ja
KP407D,Personenauto,TOYOTA,TOYOTA YARIS,1753,998,955,1450,15840,Ja
K916JJ,Personenauto,SEAT,LEON SPORTSTOURER,4046,1498,1274,1960,33520,Ja
78LTNH,Personenauto,MITSUBISHI,SPACE STAR,3012,1299,1135,1655,,Ja
SH532K,Personenauto,FORD,FOCUS,6247,1498,1250,1900,31791,Ja
RH46ZS,Personenauto,CITROEN,2 CV 6 CLUB S6,,602,560,930,,Ja
5SGL60,Personenauto,FORD,FOCUS,1010,1560,1274,1900,28491,Ja
